ID,Summary,Steps to Test,Expected Output,Test Result,Actual Result
PM-F-001,"Verify navigation to Add Payment Method screen","1. Launch the app
2. Log in with valid credentials
3. Navigate to Account section
4. Tap on Payment Methods option
5. Tap on the + button (FAB)","User should be navigated to the Add Payment Method screen where they can enter card details.",,,
PM-F-002,"Verify all required UI elements are present on Add Payment Method screen","1. Navigate to Add Payment Method screen
2. Check for presence of:
   - Toolbar with back button and title
   - Card information section title
   - Card number field with card icon
   - Expiration date field
   - CVV field
   - Default payment method checkbox
   - Save button","All UI elements should be present and properly arranged according to the design specs.",,,
PM-F-003,"Verify default state of form fields","1. Navigate to Add Payment Method screen
2. Observe initial state of all fields without any interaction","1. All fields should be empty
2. Generic card icon should be displayed
3. Save button should be disabled
4. Default payment method checkbox should be unchecked",,,
PM-F-004,"Verify successful addition of Visa card","1. Navigate to Add Payment Method screen
2. Enter valid Visa card number (e.g., 4111 1111 1111 1111)
3. Enter valid expiration date (future date in MM/YY format)
4. Enter valid CVV (3 digits)
5. Check 'Set as default payment method' checkbox
6. Tap Save button","1. Card should be successfully added
2. Success toast message should appear
3. User should be returned to Payment Methods screen
4. The new card should appear in the list with default indicator",,,
PM-F-005,"Verify successful addition of Mastercard","1. Navigate to Add Payment Method screen
2. Enter valid Mastercard number (e.g., 5555 5555 5555 4444)
3. Enter valid expiration date (future date in MM/YY format)
4. Enter valid CVV (3 digits)
5. Tap Save button","1. Card should be successfully added
2. Success toast message should appear
3. User should be returned to Payment Methods screen
4. The new card should appear in the list",,,
PM-F-006,"Verify successful addition of American Express card","1. Navigate to Add Payment Method screen
2. Enter valid American Express card number (e.g., 3714 4963 5398 431)
3. Enter valid expiration date (future date in MM/YY format)
4. Enter valid CVV (4 digits for Amex)
5. Tap Save button","1. Card should be successfully added
2. Success toast message should appear
3. User should be returned to Payment Methods screen
4. The new card should appear in the list",,,
PM-F-007,"Verify successful addition of Discover card","1. Navigate to Add Payment Method screen
2. Enter valid Discover card number (e.g., 6011 1111 1111 1117)
3. Enter valid expiration date (future date in MM/YY format)
4. Enter valid CVV (3 digits)
5. Tap Save button","1. Card should be successfully added
2. Success toast message should appear
3. User should be returned to Payment Methods screen
4. The new card should appear in the list",,,
PM-F-008,"Verify auto detection of card type for Visa","1. Navigate to Add Payment Method screen
2. Enter first 6 digits of a Visa card (e.g., 411111)
3. Observe the card icon","Card icon should change to Visa logo after entering the first 6 digits",,,
PM-F-009,"Verify auto detection of card type for Mastercard","1. Navigate to Add Payment Method screen
2. Enter first 6 digits of a Mastercard (e.g., 555555)
3. Observe the card icon","Card icon should change to Mastercard logo after entering the first 6 digits",,,
PM-F-010,"Verify auto detection of card type for Amex","1. Navigate to Add Payment Method screen
2. Enter first 6 digits of an American Express card (e.g., 371449)
3. Observe the card icon","Card icon should change to American Express logo after entering the first 6 digits",,,
PM-F-011,"Verify field validation - Card number required","1. Navigate to Add Payment Method screen
2. Leave card number field empty
3. Fill in other fields with valid data
4. Try to submit form","Save button should remain disabled",,,
PM-F-012,"Verify field validation - Expiration date required","1. Navigate to Add Payment Method screen
2. Leave expiration date field empty
3. Fill in other fields with valid data
4. Try to submit form","Save button should remain disabled",,,
PM-F-013,"Verify field validation - CVV required","1. Navigate to Add Payment Method screen
2. Leave CVV field empty
3. Fill in other fields with valid data
4. Try to submit form","Save button should remain disabled",,,
PM-F-014,"Verify field validation - Invalid card number","1. Navigate to Add Payment Method screen
2. Enter invalid card number (e.g., 1234 5678 9012 3456)
3. Fill in other fields with valid data
4. Observe field state","1. Error message should appear under card number field
2. Save button should remain disabled",,,
PM-F-015,"Verify field validation - Expired card","1. Navigate to Add Payment Method screen
2. Enter valid card number
3. Enter past date for expiration (e.g., 01/20)
4. Enter valid CVV
5. Observe field state","1. Error message should appear under expiration date field
2. Save button should remain disabled",,,
PM-F-016,"Verify field validation - Invalid CVV (too short)","1. Navigate to Add Payment Method screen
2. Enter valid card number
3. Enter valid expiration date
4. Enter 2-digit CVV (too short)
5. Observe field state","1. Error message should appear under CVV field
2. Save button should remain disabled",,,
PM-F-017,"Verify field validation - Invalid CVV (too long for Visa)","1. Navigate to Add Payment Method screen
2. Enter valid Visa card number
3. Enter valid expiration date
4. Enter 5-digit CVV (too long)
5. Observe field state","1. System should prevent entering more than 3 digits for Visa CVV
2. No more than 3 digits should be displayed",,,
